time signal1
15.2812 0.0000
15.2969 0.0000
15.3203 0.0000
15.3359 0.0000
15.3516 0.0000
15.3672 0.0000
15.3828 0.0000
15.3984 0.0000
15.4141 0.0000
15.4297 0.0000
15.4531 0.0000
15.4688 0.0000
15.4844 0.0000
15.5000 0.0000
15.5156 0.0000
15.5312 0.0000
15.5469 0.0000
15.5703 0.0000
15.5859 0.0000
15.6016 0.0000
15.6172 0.0000
15.6328 0.0000
15.6484 0.0000
15.6641 0.0000
15.6797 0.0000
15.7031 0.0000
15.7188 0.0000
15.7344 0.0000
15.7500 0.0000
15.7656 0.0000
15.7812 0.0000
15.8203 0.0000
15.8359 0.0000
15.8516 0.0000
15.8672 0.0000
15.8828 0.0000
15.8984 0.0000
15.9141 0.0000
15.9297 0.0000
15.9531 0.0000
15.9688 0.0000
15.9844 0.0000
16.0000 0.0000
16.0156 0.0000
16.0312 0.0000
16.0469 0.0000
16.0625 0.0000
16.0781 0.0000
16.0938 0.0000
16.1094 0.0000
16.1406 0.0000
16.1562 0.0000
16.1719 0.0000
16.1875 0.0000
16.2031 0.0000
16.2188 0.0000
16.2344 0.0000
16.2500 0.0000
16.2656 0.0000
16.2812 0.0000
16.2969 0.0000
16.3125 0.0000
16.3281 0.0000
16.3438 0.0000
16.3594 0.0000
16.3906 0.0000
16.4062 0.0000
16.4219 0.0000
16.4375 0.0000
16.4531 0.0000
16.4688 0.0000
16.4844 0.0000
16.5000 0.0000
16.5156 0.0000
16.5312 0.0000
16.5469 0.0000
16.5625 0.0000
16.5781 0.0000
16.5938 0.0000
16.6094 0.0000
16.6406 0.0000
16.6562 0.0000
16.6719 0.0000
16.6875 0.0000
16.7031 0.0000
16.7188 0.0000
16.7344 0.0000
16.7500 0.0000
16.7656 0.0000
16.7812 0.0000
16.7969 0.0000
16.8125 0.0000
16.8281 0.0000
16.8438 0.0000
16.8594 0.0000
16.8906 0.0000
16.9062 0.0000
16.9219 0.0000
16.9375 0.0000
16.9531 0.0000
16.9844 0.0000
17.0000 0.0000
17.0156 0.0000
17.0312 0.0000
17.0469 0.0000
17.0625 0.0000
17.0781 0.0000
17.0938 0.0000
17.1094 0.0000
17.1406 0.0000
17.1562 0.0000
17.1719 0.0000
17.1875 0.0000
17.2031 0.0000
17.2188 0.0000
17.2344 0.0000
17.2500 0.0000
17.2656 0.0000
17.2812 0.0000
17.2969 0.0000
17.3125 0.0000
17.3281 0.0000
17.3438 0.0000
17.3594 0.0000
17.3906 0.0000
17.4062 0.0000
17.4219 0.0000
17.4375 0.0000
17.4531 0.0000
17.4688 0.0000
17.4844 0.0000
17.5000 0.0000
17.5156 0.0000
17.5312 0.0000
17.5469 0.0000
17.5625 0.0000
17.5781 0.0000
17.5938 0.0000
17.6094 0.0000
17.6406 0.0000
17.6562 0.0000
17.6719 0.0000
17.6875 0.0000
17.7031 0.0000
17.7188 0.0000
17.7344 0.0000
17.7500 0.0000
17.7656 0.0000
17.7812 0.0000
17.7969 0.0000
17.8125 0.0000
17.8281 0.0000
17.8438 0.0000
17.8594 0.0000
17.8906 0.0000
17.9062 0.0000
17.9219 0.0000
17.9375 0.0000
17.9531 0.0000
17.9688 0.0000
17.9844 0.0000
18.0156 0.0000
18.0312 0.0000
18.0469 0.0000
18.0625 0.0000
18.0781 0.0000
18.0938 0.0000
18.1094 0.0000
18.1406 0.0000
18.1562 0.0000
18.1719 0.0000
18.1875 0.0000
18.2031 0.0000
18.2188 0.0000
18.2344 0.0000
18.2500 0.0000
18.2656 0.0000
18.2812 0.0000
18.2969 0.0000
18.3125 0.0000
18.3281 0.0000
18.3438 0.0000
18.3594 0.0000
18.3906 0.0000
18.4062 0.0000
18.4219 0.0000
18.4375 0.0000
18.4531 0.0000
18.4688 0.0000
18.4844 0.0000
18.5000 0.0000
18.5156 0.0000
18.5312 0.0000
18.5469 0.0000
18.5625 0.0000
18.5781 0.0000
18.5938 0.0000
18.6094 0.0000
18.6406 0.0000
18.6562 0.0000
18.6719 0.0000
18.6875 0.0000
18.7031 0.0000
18.7188 0.0000
18.7344 0.0000
18.7500 0.0000
18.7656 0.0000
18.7812 0.0000
18.7969 0.0000
18.8125 0.0000
18.8281 0.0000
18.8438 0.0000
18.8594 0.0000
18.8906 0.0000
18.9062 0.0000
18.9219 0.0000
18.9375 0.0000
18.9531 0.0000
18.9688 0.0000
18.9844 0.0000
19.0000 0.0000
19.0156 0.0000
19.0312 0.0000
19.0469 0.0000
19.0625 0.0000
19.0781 0.0000
19.0938 0.0000
19.1094 0.0000
19.1406 0.0000
19.1562 0.0000
19.1719 0.0000
19.2031 0.0000
19.2188 0.0000
19.2344 0.0000
19.2500 0.0000
19.2656 0.0000
19.2812 0.0000
19.2969 0.0000
19.3125 0.0000
19.3281 0.0000
19.3438 0.0000
19.3594 0.0000
19.3906 0.0000
19.4062 0.0000
19.4219 0.0000
19.4375 0.0000
19.4531 0.0000
19.4688 0.0000
19.4844 0.0000
19.5000 0.0000
19.5156 0.0000
19.5312 0.0000
19.5469 0.0000
19.5625 0.0000
19.5781 0.0000
19.5938 0.0000
19.6094 0.0000
19.6406 0.0000
19.6562 0.0000
19.6719 0.0000
19.6875 0.0000
19.7031 0.0000
19.7188 0.0000
19.7344 0.0000
19.7500 0.0000
19.7656 0.0000
19.7812 0.0000
19.7969 0.0000
19.8125 0.0000
19.8281 0.0000
19.8438 0.0000
19.8594 0.0000
19.8906 0.0000
19.9062 0.0000
19.9219 0.0000
19.9375 0.0000
19.9531 0.0000
19.9688 0.0000
19.9844 0.0000
20.0000 0.0000
20.0156 0.0000
20.0312 0.0000
20.0469 0.0000
20.0625 0.0000
20.0781 0.0000
20.0938 0.0000
20.1094 0.0000
20.1406 0.0000
20.1562 0.0000
20.1719 0.0000
20.2031 0.0000
20.2188 0.0000
20.2344 0.0000
20.2500 0.0000
20.2656 0.0000
20.2812 0.0000
20.2969 0.0000
20.3125 0.0000
20.3281 0.0000
20.3438 0.0000
